filename,flair_dice,flair_sens,flair_prec,t1c_dice,t1c_sens,t1c_prec,t2_dice,t2_sens,t2_prec,fus2_dice,fus2_sens,fus2_prec,fus3_dice,fus3_sens,fus3_prec
BRATS_352.nii.gz,0.701,0.586,0.873,0.193,0.136,0.332,0.596,0.471,0.811,0.652,0.658,0.646,0.748,0.650,0.879
BRATS_353.nii.gz,0.735,0.892,0.625,0.220,0.174,0.300,0.401,0.274,0.748,0.736,0.906,0.620,0.485,0.934,0.328
BRATS_354.nii.gz,0.707,0.590,0.883,0.001,0.000,1.000,0.607,0.444,0.958,0.724,0.602,0.910,0.722,0.585,0.942
BRATS_355.nii.gz,0.003,0.002,0.003,0.000,0.000,0.000,0.003,0.002,0.003,0.004,0.002,0.024,0.004,0.002,0.011
BRATS_356.nii.gz,0.890,0.809,0.991,0.360,0.510,0.278,0.609,0.529,0.719,0.873,0.781,0.990,0.861,0.760,0.993
BRATS_357.nii.gz,0.746,0.868,0.654,0.091,1.000,0.048,0.637,0.844,0.512,0.343,0.878,0.213,0.361,0.901,0.226
BRATS_358.nii.gz,0.832,0.802,0.865,0.001,0.000,1.000,0.726,0.600,0.919,0.848,0.797,0.906,0.848,0.809,0.892
BRATS_359.nii.gz,0.795,0.757,0.838,0.002,0.001,1.000,0.687,0.586,0.828,0.835,0.758,0.929,0.782,0.723,0.851
BRATS_360.nii.gz,0.736,0.712,0.761,0.001,0.001,1.000,0.749,0.599,1.000,0.714,0.737,0.693,0.844,0.813,0.877
BRATS_361.nii.gz,0.844,0.732,0.996,0.551,0.418,0.812,0.777,0.636,0.999,0.743,0.744,0.742,0.777,0.636,0.999
BRATS_362.nii.gz,0.771,0.905,0.672,0.259,0.635,0.163,0.696,0.768,0.636,0.845,0.821,0.870,0.753,0.814,0.700
BRATS_363.nii.gz,0.637,0.483,0.935,0.386,0.488,0.319,0.494,0.332,0.960,0.456,0.295,0.998,0.514,0.351,0.957
BRATS_364.nii.gz,0.829,0.936,0.745,0.002,0.001,1.000,0.880,0.793,0.989,0.944,0.921,0.968,0.924,0.882,0.970
BRATS_365.nii.gz,0.906,0.951,0.865,0.001,0.000,1.000,0.903,0.894,0.912,0.921,0.899,0.944,0.925,0.921,0.929
BRATS_366.nii.gz,0.433,0.728,0.308,0.001,0.001,1.000,0.649,0.517,0.872,0.803,0.721,0.905,0.778,0.685,0.899
BRATS_367.nii.gz,0.877,0.811,0.954,0.213,0.650,0.128,0.306,0.180,1.000,0.785,0.662,0.963,0.837,0.734,0.975
BRATS_368.nii.gz,0.576,0.839,0.439,0.033,0.017,1.000,0.393,0.332,0.481,0.499,0.804,0.362,0.814,0.853,0.779
BRATS_369.nii.gz,0.841,0.760,0.941,0.000,0.000,1.000,0.694,0.628,0.774,0.811,0.684,0.995,0.762,0.618,0.995
BRATS_370.nii.gz,0.897,0.823,0.986,0.002,0.001,1.000,0.609,0.802,0.491,0.881,0.795,0.988,0.896,0.828,0.976
BRATS_371.nii.gz,0.719,0.653,0.800,0.329,0.247,0.490,0.490,0.588,0.420,0.804,0.741,0.878,0.742,0.610,0.949
BRATS_372.nii.gz,0.784,0.889,0.701,0.001,0.001,1.000,0.610,0.701,0.540,0.874,0.871,0.877,0.764,0.854,0.691
BRATS_373.nii.gz,0.788,0.802,0.775,0.145,0.965,0.078,0.739,0.656,0.847,0.355,0.931,0.219,0.800,0.743,0.867
BRATS_374.nii.gz,0.893,0.821,0.978,0.297,0.344,0.261,0.481,0.644,0.384,0.877,0.800,0.970,0.859,0.786,0.948
BRATS_375.nii.gz,0.920,0.889,0.954,0.002,0.001,1.000,0.829,0.711,0.993,0.925,0.878,0.976,0.923,0.882,0.968
